Depth,Flood_Duration,Probability,Building_Value,Content_Value,Damage_Ratio,Estimated_Loss,EAL
3.15,1,0.0338936692656959,391000,48429,0.0222,9755.32,330.64
3.15,2,0.0338936692656959,391000,48429,0.0314,13798.07,467.67
3.15,3,0.0338936692656959,391000,48429,0.0385,16918.02,573.41
3.15,4,0.0338936692656959,391000,48429,0.0444,19510.65,661.29
3.3,1,0.0055506074371066,391000,48429,0.0226,9931.1,55.12
3.3,2,0.0055506074371066,391000,48429,0.032,14061.73,78.05
3.3,3,0.0055506074371066,391000,48429,0.0392,17225.62,95.61
3.3,4,0.0055506074371066,391000,48429,0.0453,19906.13,110.49
3.45,1,0.0005718217447064,391000,48429,0.023,10106.87,5.78
3.45,2,0.0005718217447064,391000,48429,0.0326,14325.39,8.19
3.45,3,0.0005718217447064,391000,48429,0.0399,17533.22,10.03
3.45,4,0.0005718217447064,391000,48429,0.0461,20257.68,11.58
